labels,source,path
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-01-01-01-01-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-01-01-01-02-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-01-01-02-01-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-01-01-02-02-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-01-01-01-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-01-01-02-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-01-02-01-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-01-02-02-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-02-01-01-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-02-01-02-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-02-02-01-01.wav
male_neutral,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-02-02-02-02-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-01-01-01-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-01-01-02-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-01-02-01-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-01-02-02-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-02-01-01-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-02-01-02-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-02-02-01-01.wav
male_happy,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-03-02-02-02-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-01-01-01-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-01-01-02-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-01-02-01-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-01-02-02-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-02-01-01-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-02-01-02-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-02-02-01-01.wav
male_sad,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-04-02-02-02-01.wav
male_angry,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-05-01-01-01-01.wav
male_angry,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-05-01-01-02-01.wav
male_angry,RAVDESS,C:\Users\ratnd\Desktop\finalyr project\ravdess\Actor_01\03-01-05-01-02-01-01.wav
