labels,source,path
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_back_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_bar_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_base_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_bath_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_bean_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_beg_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_bite_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_boat_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_bone_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_book_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_bought_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_burn_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_cab_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_calm_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_came_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_cause_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_chain_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_chair_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_chalk_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_chat_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_check_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_cheek_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_chief_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_choice_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_cool_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_dab_angry.wav
female_angry,TESS,C:\Users\ratnd\Desktop\finalyr project\tess\OAF_angry\OAF_date_angry.wav
